,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
367,Uruguay,99,,,,,2020-03-15,2020-06-29,,,2020-03-17,,,
368,Utah,567,,,,,2020-03-16,,2020-03-19,2020-05-01,2020-03-19,,,
369,Uttar Pradesh,4873,2020-03-25,2020-05-20,2020-03-25,2020-06-01,2020-03-25,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-20
370,Uttarakhand,4874,2020-03-22,2020-05-04,2020-03-22,2020-06-01,2020-03-13,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-24
371,Uzbekistan,41,2020-03-27,2020-05-18,2020-03-27,2020-08-15,2020-03-16,,2020-03-23,,2020-03-21,,,
372,Valencian Community,60371,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
373,Valle d'Aosta,35495,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
374,Veneto,35500,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,,2020-02-22,,2020-02-22,2020-06-15,2020-03-11,2020-04-14
375,Venezuela (Bolivarian Republic of),133,2020-03-17,,2020-03-20,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-06-01
376,Veracruz de Ignacio de la Llave,4672,,,,,2020-03-16,,2020-03-16,,2020-03-23,,2020-03-30,
377,Vermont,568,,,2020-03-24,2020-05-15,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-25,2020-05-04
378,Virginia,569,,,2020-03-30,2020-06-05,2020-03-16,,2020-03-15,,2020-03-17,,2020-03-24,2020-05-15
379,Wales,4636,2020-06-01,2020-07-06,2020-03-23,2020-06-01,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-06-22
380,Washington,570,,,2020-03-23,2020-07-03,2020-03-13,,2020-03-11,,2020-03-16,,2020-03-25,2020-07-03
381,West Bengal,4875,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-14,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-05
382,West Virginia,571,,,2020-03-25,2020-05-04,2020-03-14,,2020-03-24,,2020-03-18,,2020-03-24,2020-05-04
383,Wisconsin,572,,,2020-03-25,2020-05-13,2020-03-18,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-11
384,Wyoming,573,,,,,2020-03-19,,2020-03-20,,2020-03-19,2020-05-15,,
385,Yemen,157,,,,,2020-03-25,,,,,,,
386,Yucatán,4673,,,2020-06-22,,2020-03-16,,2020-03-26,,2020-03-23,,2020-03-30,
387,Zacatecas,4674,,,2020-06-22,,2020-03-23,,2020-03-15,,2020-03-23,,2020-03-30,
388,Zambia,191,,,,,2020-03-20,2020-09-14,2020-03-25,,2020-03-25,,,
389,Zimbabwe,198,,,2020-03-30,,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-30,2020-04-20
