,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
134,Guinea-Bissau,209,,,2020-03-28,,2020-03-17,,2020-03-15,,2020-03-15,,2020-04-03,
135,Gujarat,4851,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-16,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
136,Guyana,113,,,2020-05-04,,2020-03-16,,2020-04-02,,2020-04-02,,2020-05-04,
137,Hainan,499,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25
138,Haiti,114,,,,,2020-03-20,2020-08-17,2020-03-20,,2020-03-20,,,
139,Hamburg,60382,,,2020-03-22,2020-05-04,2020-03-16,2020-07-01,2020-03-22,,2020-03-15,,,
140,Haryana,4852,2020-03-24,2020-05-16,2020-03-24,2020-06-01,2020-03-16,,2020-03-20,,2020-03-16,,2020-03-16,2020-04-20
141,Hawaii,534,,,2020-03-25,2020-06-10,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-01
142,Hebei,500,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24
143,Heilongjiang,501,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09
144,Hesse,60383,,,2020-03-22,2020-05-09,2020-03-16,,2020-03-22,,2020-03-15,,,
145,Hidalgo,4655,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-29,,2020-03-30,
146,Himachal Pradesh,4853,2020-03-23,2020-04-20,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
147,Honduras,129,2020-03-16,,2020-03-19,,2020-03-13,,2020-03-14,,2020-03-16,,2020-03-16,
148,Hong Kong Special Administrative Region of China,354,,,,,,,,,,,,
149,Hubei,503,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14
150,Hungary,48,,,2020-03-28,2020-05-18,2020-03-16,2020-09-01,2020-03-12,,2020-03-12,,2020-03-16,2020-05-18
151,Iceland,83,,,,,2020-03-16,2020-05-04,2020-03-16,,2020-03-24,2020-05-25,,
152,Idaho,535,,,2020-03-25,2020-05-01,2020-03-23,,2020-03-25,2020-05-01,2020-03-25,2020-06-13,2020-03-25,2020-05-01
153,Illinois,536,,,2020-03-21,2020-05-29,2020-03-17,,2020-03-13,,2020-03-16,,2020-03-21,2020-05-01
154,India,163,2020-03-25,,2020-03-25,2020-06-09,2020-03-25,,2020-03-25,,2020-03-16,,2020-03-25,2020-05-21
155,Indiana,537,,,2020-03-25,2020-05-18,2020-03-19,,2020-03-12,,2020-03-16,2020-09-26,2020-03-24,2020-05-18
156,Indonesia,11,,,,,2020-03-16,,2020-03-16,,,,,
157,Iowa,538,,,,,2020-04-04,,2020-03-17,2020-06-12,2020-03-17,,2020-03-17,2020-05-08
158,Iran (Islamic Republic of),142,2020-03-19,2020-04-09,,,2020-02-24,,2020-02-24,2020-05-26,2020-03-04,,,
159,Iraq,143,,,2020-03-17,2020-04-21,2020-02-27,,2020-02-25,,2020-02-27,,,
160,Ireland,84,,,2020-03-27,2020-05-18,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-24,2020-05-18
161,Islamabad Capital Territory,53618,,,2020-03-21,2020-05-09,2020-03-13,,2020-03-21,,2020-03-21,,2020-03-21,2020-04-15
162,Israel,85,,,2020-03-25,2020-04-19,2020-03-12,2020-06-01,2020-03-04,,2020-03-15,,2020-03-25,2020-05-03
163,Italy,86,,,,,,,,,,,,
164,Jalisco,4656,,,2020-04-19,,2020-03-16,,2020-03-24,,2020-03-23,,2020-03-30,
165,Jamaica,115,,,,,2020-03-13,,2020-03-18,,2020-03-18,,,
166,Jammu & Kashmir and Ladakh,4854,2020-03-22,,2020-03-22,2020-06-09,2020-03-11,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-17
167,Japan,67,,,,,2020-03-02,2020-06-02,,,,,,
168,Jharkhand,4855,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
169,Jordan,144,2020-03-18,2020-04-29,2020-03-21,2020-04-27,2020-03-15,,2020-03-14,,2020-03-14,2020-06-06,2020-03-18,2020-04-27
170,Kansas,539,,,2020-03-30,2020-05-04,2020-03-17,,2020-03-17,2020-05-22,2020-03-30,2020-06-08,,
171,Karnataka,4856,2020-03-24,2020-05-04,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-13,,2020-03-13,2020-05-04
172,Kazakhstan,36,2020-03-16,2020-06-01,2020-03-28,2020-05-22,2020-03-16,,2020-03-28,,2020-03-16,,2020-03-16,2020-05-11
173,Kentucky,540,,,,,2020-03-20,,2020-03-19,,2020-03-16,2020-06-29,2020-03-26,2020-05-11
174,Kenya,180,,,,,2020-03-20,,2020-03-22,,2020-03-22,,,
175,Kerala,4857,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-18,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
176,Khyber Pakhtunkhwa,53619,,,2020-03-22,2020-05-09,2020-03-13,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-15
177,Kuwait,145,2020-05-10,,2020-05-10,,2020-03-01,,2020-03-18,,2020-03-14,,2020-05-10,
178,Kyrgyzstan,37,,,,,2020-03-16,,2020-03-17,,2020-03-22,,2020-03-22,2020-05-01
179,La Rioja,60376,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
180,Latin America and Caribbean,103,,,,,,,,,,,,
181,Latvia,59,,,,,2020-03-12,,2020-03-13,,,,,
182,Lazio,35506,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
183,Lebanon,146,,,2020-03-15,2020-05-04,2020-03-03,,2020-03-15,,2020-03-15,,2020-03-15,2020-05-04
184,Liberia,210,,,,,2020-03-16,,2020-03-21,,2020-03-21,,2020-04-14,2020-05-22
185,Libya,147,,,,,2020-03-16,,2020-03-22,,2020-03-22,,,
186,Liguria,35496,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
187,Lithuania,60,,,2020-03-15,2020-04-29,2020-03-16,2020-09-01,2020-03-15,,2020-03-14,2020-06-16,2020-03-15,2020-04-15
188,Lombardia,35497,2020-03-08,2020-05-04,2020-03-08,2020-06-03,2020-03-01,,2020-02-22,,2020-02-22,2020-06-15,2020-03-08,2020-04-14
189,Louisiana,541,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01
190,Lower Saxony,60384,,,2020-03-23,2020-05-11,2020-03-16,,2020-03-23,,2020-03-27,,2020-03-27,2020-04-20
191,Luxembourg,87,,,,,2020-03-16,,2020-03-13,,2020-03-18,2020-07-16,2020-03-18,2020-04-20
192,Madagascar,181,2020-03-21,,,,2020-03-20,,2020-03-20,,2020-03-20,,,
193,Madhya Pradesh,4859,2020-03-23,2020-06-01,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-05-19
194,Maharashtra,4860,2020-03-23,2020-06-05,2020-03-23,2020-06-03,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-24
195,Maine,542,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01
196,Malawi,182,,,,,2020-03-23,,2020-03-23,,,,,
197,Malaysia,13,2020-03-18,2020-06-10,2020-03-18,2020-06-10,2020-03-18,,2020-03-13,,2020-03-18,,2020-03-18,2020-06-10
198,Maldives,14,,,2020-04-15,,2020-03-14,,2020-03-16,,2020-03-15,,,
199,Mali,211,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
200,Malta,88,,,,,2020-03-13,,2020-03-03,,2020-03-17,2020-07-01,2020-03-23,2020-05-22
201,Manipur,4861,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-13,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-21
202,Manitoba,43860,,,,,2020-03-23,,2020-03-20,,2020-03-20,,2020-04-01,2020-05-04
203,Maranhão,4759,,,,,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,
204,Marche,35505,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
205,Maryland,543,,,2020-03-30,2020-05-15,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15
206,Massachusetts,544,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18
207,Mato Grosso,4762,,,2020-03-31,,2020-03-23,,2020-03-16,,2020-03-26,,2020-03-26,2020-04-22
208,Mato Grosso do Sul,4761,,,,,2020-03-23,,2020-03-16,,,,,
209,Mauritania,212,2020-03-29,2020-07-10,,,2020-03-16,2020-09-01,2020-03-19,2020-09-05,2020-03-19,2020-07-07,,
210,Mauritius,183,2020-03-23,2020-05-30,2020-03-23,2020-05-30,2020-03-19,,2020-03-23,2020-06-12,2020-03-23,2020-06-15,2020-03-23,2020-06-12
211,Mecklenburg-Vorpommern,60385,,,2020-03-23,2020-05-07,2020-03-16,,2020-03-23,,2020-03-18,,2020-03-18,2020-04-20
212,Meghalaya,4862,2020-03-24,2020-05-11,2020-03-24,2020-06-08,2020-03-17,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
213,Mexico,130,,,,,2020-03-23,,2020-03-24,,2020-04-04,,2020-04-04,
214,Mexico City,4651,,,2020-06-22,,2020-03-19,,2020-03-16,,2020-03-30,,2020-04-01,2020-06-01
215,Michigan,545,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07
216,Michoacán de Ocampo,4658,,,2020-06-22,,2020-03-23,,2020-03-15,,2020-03-23,,2020-03-30,
217,Minas Gerais,4760,,,,,2020-03-20,,2020-03-22,,2020-03-22,,,
218,Minnesota,546,,,2020-03-28,2020-05-18,2020-03-18,,2020-03-28,,2020-03-17,2020-06-10,,
219,Mississippi,547,,,2020-04-03,2020-04-27,2020-03-19,,2020-03-24,,2020-03-24,2020-06-01,2020-04-03,2020-04-27
220,Missouri,548,,,2020-04-06,2020-05-15,2020-03-23,,2020-03-23,2020-05-04,2020-03-23,2020-06-16,,
221,Molise,35508,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
222,Montana,549,,,2020-03-26,2020-04-26,2020-03-15,,2020-03-24,2020-06-01,2020-03-20,2020-06-01,2020-03-26,2020-05-01
223,Montenegro,50,2020-03-17,2020-05-04,,,2020-03-16,,2020-03-13,,2020-03-18,,2020-03-18,2020-05-04
224,Morelos,4659,,,2020-06-22,,2020-03-17,,2020-03-20,,2020-03-23,,2020-03-30,
225,Morocco,148,2020-03-20,2020-06-25,2020-03-18,2020-06-25,2020-03-16,,2020-03-05,,2020-03-16,,2020-03-16,2020-06-25
226,Mozambique,184,,,,,2020-03-23,,2020-03-23,,2020-03-30,,,
227,Murcia,60366,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
228,Myanmar,15,2020-03-12,,,,2020-03-24,,2020-03-13,,2020-03-24,,,
229,México,4657,,,2020-04-02,,2020-03-22,,2020-03-24,,2020-03-23,,2020-04-02,
230,Nagaland,4864,2020-03-18,2020-05-04,2020-03-25,2020-06-01,2020-03-18,,2020-03-25,,2020-03-18,,2020-03-18,2020-04-25
231,Namibia,195,,,2020-04-14,2020-05-05,2020-03-16,2020-09-07,2020-03-14,,2020-04-14,,2020-04-14,2020-05-05
232,Navarre,60370,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
233,Nayarit,4660,,,2020-06-22,,2020-03-22,,2020-03-15,,2020-03-23,,2020-03-30,
234,Nebraska,550,,,,,2020-04-02,,2020-03-16,,2020-03-19,2020-07-06,,
235,Nepal,164,2020-03-24,2020-06-15,2020-03-24,2020-06-15,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-22,2020-06-15
236,Netherlands,89,,,,,2020-03-15,2020-08-17,2020-03-10,,2020-03-12,,,
237,Nevada,551,,,2020-03-31,2020-05-09,2020-03-16,,2020-03-24,,2020-03-18,,2020-03-21,2020-05-09
238,New Hampshire,552,,,2020-03-27,2020-06-16,2020-03-16,,2020-03-16,,2020-03-16,2020-06-29,2020-03-28,2020-05-11
239,New Jersey,553,,,2020-03-21,2020-06-09,2020-03-18,,2020-03-16,,2020-03-16,,2020-03-21,2020-05-02
240,New Mexico,554,,,,,2020-03-13,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-15
241,New York,555,,,2020-03-22,2020-06-08,2020-03-18,,2020-03-12,,2020-03-16,,2020-03-22,2020-06-08
242,New Zealand,72,,,2020-03-24,2020-05-14,2020-03-24,2020-05-18,2020-03-16,2020-06-09,2020-03-24,2020-06-09,2020-03-24,2020-04-28
243,Nicaragua,131,,,,,,,,,,,,
244,Niger,213,,,,,2020-03-17,2020-08-14,2020-03-13,2020-05-25,2020-03-18,,,
245,Nigeria,214,,,,,2020-03-23,,,,,,,
246,North Africa and Middle East,138,,,,,,,,,,,,
247,North America,44638,,,,,,,,,,,,
248,North Carolina,556,,,2020-03-30,2020-05-08,2020-03-14,,2020-03-14,,2020-03-17,,2020-03-30,2020-05-08
249,North Dakota,557,,,,,2020-03-16,,,,2020-03-20,,,
250,North Macedonia,49,,,2020-03-22,2020-05-13,2020-03-10,,2020-03-22,,2020-03-14,,2020-03-14,2020-05-13
251,North Rhine-Westphalia,60386,,,2020-03-23,2020-05-11,2020-03-16,,2020-03-23,,2020-02-26,,2020-03-23,2020-04-20
252,Northern Ireland,433,,,2020-03-23,2020-06-13,2020-03-23,2020-08-31,2020-03-23,,2020-03-23,,2020-03-23,2020-06-08
253,Norway,90,,,,,2020-03-12,2020-05-15,2020-03-12,,2020-03-12,,,
254,Nova Scotia,43864,,,,,2020-03-16,,2020-03-15,,2020-03-15,,,
255,Nuevo León,4661,,,2020-06-22,,2020-03-22,,2020-03-23,,2020-03-24,,2020-03-30,
256,Oaxaca,4662,,,2020-06-22,,2020-03-22,,2020-03-12,,2020-03-23,,2020-03-30,
257,Odisha,4865,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
258,Ohio,558,,,2020-03-23,2020-05-20,2020-03-16,,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04
259,Oklahoma,559,,,,,2020-03-17,,2020-03-24,2020-05-24,2020-04-01,2020-06-01,2020-04-01,2020-04-24
260,Oman,150,,,,,2020-03-15,,2020-04-21,,2020-03-31,2020-10-01,,
261,Ontario,43866,,,,,2020-03-16,,2020-03-16,,2020-03-16,,2020-04-05,2020-05-04
262,Oregon,560,,,2020-03-23,2020-06-19,2020-03-16,,2020-03-12,,2020-03-17,,,
263,Pakistan,165,,,2020-03-24,2020-05-09,2020-03-15,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
264,Palestine,149,2020-03-22,2020-05-29,2020-03-22,2020-05-29,2020-03-16,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-05
265,Panama,132,2020-03-13,2020-06-01,2020-03-25,2020-06-01,2020-03-16,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-13
266,Paraguay,136,,,2020-03-20,,2020-03-11,,2020-03-10,,2020-03-12,,2020-03-21,2020-05-25
267,Paraná,4765,,,,,2020-03-20,,2020-03-16,,2020-03-16,,2020-03-21,2020-06-22
268,Paraíba,4764,,,,,2020-03-19,,2020-03-17,,2020-03-29,,,
269,Pará,4763,2020-04-06,,,,2020-03-24,,2020-03-27,,2020-03-20,,2020-03-20,
270,Pennsylvania,561,,,2020-04-01,2020-06-05,2020-03-17,,2020-04-01,2020-09-14,2020-03-18,2020-07-03,2020-03-23,2020-05-08
271,Pernambuco,4766,,,,,2020-03-18,,,,2020-03-19,,2020-03-20,
272,Peru,123,,,2020-03-16,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-05-01
273,Philippines,16,,,,,2020-03-16,,,,,,,
274,Piaui,4767,,,,,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-23,
275,Piemonte,35494,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
276,Poland,51,,,2020-03-24,2020-04-20,2020-03-12,2020-09-01,2020-03-10,,2020-03-31,,,
277,Portugal,91,2020-04-09,2020-05-02,2020-03-19,2020-05-02,2020-03-16,,2020-03-19,,2020-03-16,,2020-03-19,2020-05-02
278,Provincia autonoma di Bolzano,35498,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
279,Provincia autonoma di Trento,35499,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
280,Puebla,4663,,,2020-06-22,,2020-03-22,,2020-03-23,,2020-03-29,,2020-03-30,
281,Puerto Rico,385,,,2020-03-16,2020-06-16,2020-03-16,,2020-03-12,,2020-03-16,2020-06-16,2020-03-16,2020-05-04
282,Puglia,35510,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
283,Punjab,4867,2020-03-23,2020-05-20,2020-03-23,2020-06-01,2020-03-19,,2020-03-22,,2020-03-23,,2020-03-23,2020-04-30
284,Punjab,53620,,,2020-03-24,2020-05-09,2020-03-15,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
285,Qatar,151,,,,,2020-03-10,,2020-03-14,,2020-03-13,,2020-03-13,2020-06-15
286,Quebec,43868,,,,,2020-03-16,2020-09-02,2020-03-12,,2020-03-15,,2020-03-23,2020-05-11
287,Querétaro,4664,,,2020-06-22,,2020-03-15,,2020-03-13,,2020-03-23,,2020-03-30,
288,Quintana Roo,4665,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-23,,2020-03-30,
289,Rajasthan,4868,2020-03-22,2020-05-25,2020-03-22,2020-06-01,2020-03-22,,2020-03-19,,2020-03-22,,2020-03-22,2020-05-14
290,Republic of Korea,68,,,,,2020-03-02,2020-06-08,,,2020-03-22,,,
291,Republic of Moldova,61,,,2020-03-25,2020-05-16,2020-03-11,,2020-03-10,,2020-03-13,,2020-03-16,2020-06-01
292,Rhineland-Palatinate,60387,,,2020-03-22,2020-05-13,2020-03-16,,2020-03-22,,2020-03-23,,2020-03-23,2020-04-20
293,Rhode Island,562,,,2020-03-28,2020-05-09,2020-03-16,,2020-03-17,,2020-03-17,,,
294,Rio Grande do Norte,4769,2020-06-04,,,,2020-03-24,,2020-04-01,,2020-04-01,,2020-04-01,
295,Rio Grande do Sul,4772,,,,,2020-04-01,,2020-03-19,,2020-03-19,,2020-04-01,2020-04-08
296,Rio de Janeiro,4768,,,2020-03-30,,2020-03-13,,2020-03-13,,2020-03-16,,,
297,Romania,52,,,2020-03-23,2020-05-15,2020-03-11,,2020-03-06,,2020-03-21,,2020-03-21,2020-05-15
298,Rondônia,4770,,,,,2020-03-17,,2020-03-20,,2020-03-20,,2020-03-20,
299,Roraima,4771,,,,,2020-03-17,,2020-03-16,,2020-03-22,,2020-03-27,
300,Russian Federation,62,,,,,2020-03-23,2020-09-01,,,2020-03-30,,2020-03-30,2020-05-12
301,Rwanda,185,2020-03-21,,2020-03-21,2020-05-04,2020-03-16,,2020-03-17,,2020-03-21,,2020-03-21,2020-05-04
302,Saarland,60388,,,2020-03-21,2020-05-18,2020-03-16,,2020-03-21,,2020-03-15,,,
303,San Luis Potosí,4666,,,2020-06-22,,2020-03-22,,2020-03-20,,2020-03-22,,2020-03-30,
304,San Marino,396,,,,,2020-02-23,,2020-03-08,2020-06-15,2020-03-08,,,
305,Santa Catarina,4773,,,,,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-17,2020-04-13
306,Sao Tome and Principe,215,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
307,Sardegna,35514,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
308,Saskatchewan,43869,,,,,2020-03-20,,2020-03-13,,2020-03-18,,,
309,Saudi Arabia,152,2020-03-26,2020-05-31,2020-05-25,2020-06-21,2020-03-09,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-29
310,Saxony,60390,,,2020-03-23,2020-04-20,2020-03-23,2020-07-18,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
311,Saxony-Anhalt,60389,,,2020-03-22,2020-05-04,2020-03-16,2020-06-15,2020-03-22,,2020-03-24,,2020-03-24,2020-04-20
312,Schleswig-Holstein,60391,,,2020-03-24,2020-05-09,2020-03-16,,2020-03-24,,2020-03-14,,2020-03-24,2020-04-20
313,Scotland,434,,,2020-03-23,2020-05-28,2020-03-23,2020-08-18,2020-03-23,,2020-03-23,,2020-03-23,2020-05-28
314,Senegal,216,,,,,2020-03-16,,2020-03-14,,,,,
